文章,发表年份,主题词
数字孪生驱动的手术智慧管理平台应用研究_宓林晖.pdf,2023,"['手术追溯', '数字孪生', '手术质量']"
智慧医院建设的多种解法.pdf,2023,"['智慧医院建设', '高质量发展', '公立医院改革', '科技创新', '智慧化运营体系', '医院管理', '数字经济', '医疗产业', '智慧医疗', '医疗技术创新', '医学人才培养', '疾病防治网络', '品牌传播', '数智治理', '智慧管理', '科大新医学', '信息系统', '智慧医院', '人工智能', '心血管病管理']"
基于互联网技术的智慧医院后勤运维平台构建.pdf,2020,"['智慧运维平台', '物联网', '后勤运维平台']"
公立医院财务会计向管理会计转型的分析与探讨.pdf,2020,"['财务会计', '转型', '管理会计', '精细化管理']"
“音视频_人工智能”在医院后勤数智化管理中的应用_陈政.pdf,2022,"['音视频', '人工智能', '医院后勤数智化管理']"
智慧医院建设发展趋势及思路分析.pdf,2023,"['智慧医院', '新基建', '信息化']"
安徽省立医院智慧医院建设“全景图”.pdf,2019,"['智慧医院', '人工智能', '智慧医疗', '智慧护理', '智慧医院管理', '智慧后勤保障', '智慧医疗共享', '智慧数据平台', '5G技术']"
智慧康复——浙江医院康复医学中心.pdf,2023,"['气候变化', '环境保护', '可持续发展']"
基于智慧医院建设背景的公立医院移动支付应用探析.pdf,2020,"['智慧医院', '移动支付', '第三方支付', '财务管理', '内部控制', '风险控制', '资金安全', '医疗资源配置']"
多维度探寻智慧医院建设之需.pdf,2023,"['智慧医院', '医院智慧化建设', '医改', '医疗服务', 'PEST分析', '需求调研', '医院管理', '技术应用', '患者体验', '运营效率']"
老龄化背景下三级综合医院门诊自助服务的挑战与对策.pdf,2023,"['老龄化', '三级综合医院', '门诊', '自助服务', '智慧医院']"
无接触式医技检查自动化预约模式的构建与应用.pdf,2021,"['无接触式', '医技检查', '自动化预约', '智慧医院']"
智慧消防之无线烟感报警系统在雷神山医院的应用.pdf,2020,"['智慧消防', '无线烟感报警系统', '雷神山医院', '物联网', 'NB-IoT技术', '消防系统']"
公立医院食堂智慧化管理创新模式研究.pdf,2024,"['医院食堂', '智慧化管理', '系统架构', '重点模块']"
智慧医院从零到一.pdf,2018,"['智慧医院', '信息化', '互联网+医疗健康', 'HIMSS认证', '医院管理', '数据流动', '质量与安全', '智慧化建设', '医疗健康服务体系']"
医院多面向挺进智慧医疗新时代.pdf,2019,"['智慧医疗', '互联网医院', '医院信息化', '电子病历', '远程医疗', '人工智能', '医联体', '分级诊疗', '数据中心', '智慧医院']"
智慧医疗+智慧金融助力公立医院管理变革和智慧应用.pdf,2017,"['智慧医疗', '智慧金融', '公立医院管理']"
医院智慧办公系统设计与应用.pdf,2023,"['智慧医院', '智慧办公系统', '信息管理']"
广州某三甲医院后勤智慧运维平台解决方案分享.pdf,2018,"['智慧医院', '智慧运维平台', '医院后勤管理', '智能化系统设计', '能源管理系统', '设备运维管理', '后勤服务管理', 'BIM运维']"
大型公立医院智慧财务数智化平台设计与应用.pdf,2024,"['医院智慧财务', '数智化平台', '业财融合', '高质量发展']"
大数据环境下医院私有云的建设.pdf,2018,"['医疗大数据', '医院信息系统', '云计算技术', '私有云服务']"
信息化建设助力三级公立医院绩效考核_周静.pdf,2023,"['绩效考核', '公立医院', '信息化', '智慧医院']"
数字孪生技术及其在医疗领域的应用_李哲青.pdf,2023,"['数字孪生', '医疗', '大数据', '建模']"
大型综合医院门诊部建筑设计研究——以深圳市为例.pdf,2021,"['大型综合医院', '门诊部', '布局', '流线', '设计研究']"
公立医院智慧财务信息化建设路径探讨.pdf,2023,"['财务信息化', '公立医院', '智慧财务']"
医院总务后勤智能化管理平台的应用.pdf,2019,"['后勤管理', '智能化', '管理平台', '智慧医院']"
医院管理建设中智慧医保的SWOT分析.pdf,2024,"['SWOT', '智慧医保', '医保管理', '信息系统', '基金监管', '信息安全']"
武汉协和医院：打造智慧医疗“芯”模式.pdf,2023,"['智慧医疗', '患者体验', '互联网+健康医疗', '智慧医院', 'AI陪诊', '智慧病房', '远程医疗', '医疗协作', '健康中国']"
区块链技术在医院会计智慧化工作中的思考与展望_杨宸.pdf,2023,"['区块链技术', '医院会计', '智慧化工作']"
移动互联网的医院“智慧财务”信息化研究初探.pdf,2018,"['移动互联网', '医院智慧财务', '信息化研究']"
5G移动通信在智慧医院的网络规划及部署应用.pdf,2019,"['5G移动通信', '智慧医院', '网络规划', '部署应用']"
智慧医疗应用技术的特点.pdf,2019,"['智慧医疗', '应用技术', '特点']"
新型临床决策支持系统在智慧医院建设中的应用研究.pdf,2019,"['智慧医院', '临床决策支持系统', '临床数据中心', '应用']"
医院暖通智慧运行及节能措施探究.pdf,2023,"['医院暖通系统', '智慧运行', '节能措施', '数据采集技术', '数据分析技术', '自动控制技术', '能源管理', '设备优化', '建筑节能']"
关于智慧医院信息服务中云计算技术的应用分析.pdf,2014,"['智慧医院平台', '信息服务', '云计算', '医疗行业', '卫生事业改革']"
互联网+时代智慧医院建设探讨与研究.pdf,2017,"['智慧医院', '互联网+', '医院信息化', '物联网', '云计算', '大数据', '移动计算技术', '医疗应用管理', '资源整合', '法规建设']"
信息化技术在智慧医疗中的应用.pdf,2019,"['智慧医疗', '信息化建设', 'HIS', '电气自动化', '故障预防', '检修技术']"
基于BIM竣工模型的医院智慧运维系统集成分析.pdf,2021,"['BIM 竣工模型', '医院', '智慧运维系统', '集成分析']"
智慧互联网医院新模式的探讨——以宁夏银川市为例.pdf,2018,"['互联网+', '智慧医疗', '智慧互联网医院', '银川市', '大数据', '医疗资源', '医疗监管', '医疗产业链']"
