Word,Frequency
智慧医疗,236
人工智能,166
信息化,127
大数据,126
物联网,116
智慧财务,96
智慧服务,77
智慧管理,75
互联网+,69
电子病历,61
财务管理,54
远程医疗,54
医院信息化,53
高质量发展,52
云计算,52
医疗服务,50
智慧医院建设,49
精细化管理,42
互联网+医疗,41
分级诊疗,40
业财融合,40
互联网医院,39
智能化,36
5G,35
数字化转型,34
互联网+医疗健康,32
信息技术,30
医疗质量,29
网络安全,29
互联网,27
物联网技术,26
5G技术,25
智慧城市,25
内部控制,24
信息安全,24
移动医疗,23
疫情防控,22
医疗大数据,21
运营管理,21
智慧门诊,21
信息系统,20
智慧化,20
数据中心,19
后勤管理,19
数字化,19
医疗改革,18
医疗设备,18
智慧病房,17
数据分析,17
数据安全,17
互联互通,17
互联网医疗,17
数字孪生,16
就医体验,16
智慧后勤,16
患者体验,15
医联体,15
医院信息系统,15
财务信息化,15
BIM技术,15
医院建设,14
应用,13
建设,13
医院建筑,13
智慧运维,13
健康管理,13
数据共享,13
BIM,13
绩效考核,12
医院信息化建设,12
信息化管理,12
信息平台,12
建筑信息模型,12
医疗服务质量,12
智慧化管理,11
医疗行业,11
远程会诊,11
智能化系统,11
医患关系,11
医疗管理,11
智慧药房,11
管理,11
人才培养,11
人脸识别,11
移动支付,10
移动互联网,10
绿色医院,10
一站式服务,10
患者就医体验,10
医疗健康,10
大数据分析,10
患者满意度,10
信息化平台,10
数字化医院,10
现代医院管理制度,10
流程再造,10
安全管理,10
机器学习,10
可持续发展,9
自助服务,9
医院后勤管理,9
云计算技术,9
医疗资源,9
医院后勤,9
运维管理,9
一体化,9
深度学习,9
新型冠状病毒肺炎,9
全生命周期,9
医疗物联网,9
数据治理,9
智慧护理,8
智慧消防,8
医疗,8
区块链技术,8
标准化,8
集成平台,8
智慧财务管理,8
数据挖掘,8
智慧型医院,8
医院财务,8
患者服务,8
数据管理,8
学科建设,8
公立医院改革,7
医疗资源配置,7
医改,7
系统架构,7
智慧化建设,7
信息服务,7
文化建设,7
医院高质量发展,7
健康医疗大数据,7
云平台,7
信息共享,7
医疗资源整合,7
医院档案,7
公立医院高质量发展,7
医疗质量管理,7
系统集成,7
智能建筑,7
发展前景,7
成本核算,7
医疗效率,7
管理会计,6
环境保护,6
医院智慧财务,6
能源管理,6
创新,6
互联网技术,6
电子病历系统,6
微信公众号,6
服务质量,6
资产管理,6
医院运营管理,6
人力资源,6
全生命周期管理,6
护理,6
现代化医院,6
财务转型,6
预约诊疗,6
远程医疗服务,6
医疗技术,6
智慧服务分级评估,6
中医医院,6
智慧运营,6
医疗资源共享,6
档案管理,6
互联网诊疗,6
流程优化,6
电子健康档案,6
算法,6
可视化,6
实践,6
